scheme,fe_degree,refinements,h,dt,dofs,l2_error,energy_ratio,wall_time
CN,1,3,0.125,0.04,81,0.01130656,1.0,0.198
CN,1,3,0.125,0.02,81,0.01548989,1.0,0.397
CN,1,3,0.125,0.01,81,0.01654305,1.0,0.856
CN,1,3,0.125,0.005,81,0.01680678,1.0,1.501
CN,1,3,0.125,0.0025,81,0.01687274,1.0,4.17
CN,2,3,0.125,0.04,81,0.005558735,1.0,0.253
CN,2,3,0.125,0.02,81,0.00136663,1.0,0.505
CN,2,3,0.125,0.01,81,0.0003172938,1.0,0.839
CN,2,3,0.125,0.005,81,8.038707e-05,1.0,1.736
CN,2,3,0.125,0.0025,81,6.839355e-05,1.0,3.035
CN,1,4,0.0625,0.04,289,0.001354417,1.0,0.177
CN,1,4,0.0625,0.02,289,0.002880714,1.0,0.363
CN,1,4,0.0625,0.01,289,0.003932202,1.0,0.687
CN,1,4,0.0625,0.005,289,0.004195735,1.0,1.402
CN,1,4,0.0625,0.0025,289,0.004261654,1.0,2.784
CN,2,4,0.0625,0.04,289,0.005597258,1.0,0.301
CN,2,4,0.0625,0.02,289,0.001404061,1.0,0.617
CN,2,4,0.0625,0.01,289,0.0003495617,1.0,1.108
CN,2,4,0.0625,0.005,289,8.581942e-05,1.0,2.14
CN,2,4,0.0625,0.0025,289,2.105775e-05,1.0,4.441
CN,1,5,0.03125,0.04,1089,0.004528384,1.0,0.304
CN,1,5,0.03125,0.02,1089,0.0003410522,1.0,0.604
CN,1,5,0.03125,0.01,1089,0.0007235766,1.0,1.253
CN,1,5,0.03125,0.005,1089,0.0009867867,1.0,2.272
CN,1,5,0.03125,0.0025,1089,0.00105268,1.0,4.508
CN,2,5,0.03125,0.04,1089,0.005599698,1.0,0.427
CN,2,5,0.03125,0.02,1089,0.001406489,1.0,0.951
CN,2,5,0.03125,0.01,1089,0.0003519199,1.0,1.735
CN,2,5,0.03125,0.005,1089,8.788892e-05,1.0,3.443
CN,2,5,0.03125,0.0025,1089,2.187349e-05,1.0,7.091
CN,1,6,0.015625,0.04,4225,0.005331659,1.0,0.55
CN,1,6,0.015625,0.02,4225,0.001138446,1.0,1.089
CN,1,6,0.015625,0.01,4225,8.541684e-05,1.0,2.386
CN,1,6,0.015625,0.005,4225,0.0001811068,1.0,4.538
CN,1,6,0.015625,0.0025,4225,0.0002469302,1.0,8.945
CN,2,6,0.015625,0.04,4225,0.005599851,1.0,1.181
CN,2,6,0.015625,0.02,4225,0.001406642,1.0,2.435
CN,2,6,0.015625,0.01,4225,0.000352072,1.0,4.754
CN,2,6,0.015625,0.005,4225,8.803661e-05,1.0,9.778
CN,2,6,0.015625,0.0025,4225,2.200346e-05,1.0,18.4
BE,1,3,0.125,0.04,81,0.003151078,1.007427,0.174
BE,1,3,0.125,0.02,81,0.0133907,1.001879,0.334
BE,1,3,0.125,0.01,81,0.01601603,1.000471,10.608
BE,1,3,0.125,0.005,81,0.01667489,1.000118,1.459
BE,1,3,0.125,0.0025,81,0.01683976,1.000029,2.865
BE,2,3,0.125,0.04,81,0.01384816,1.007214,0.226
BE,2,3,0.125,0.02,81,0.003468783,1.001827,0.358
BE,2,3,0.125,0.01,81,0.0008406678,1.000458,0.674
BE,2,3,0.125,0.005,81,0.0001901635,1.000115,1.336
BE,2,3,0.125,0.0025,81,6.693791e-05,1.000029,2.835
BE,1,4,0.0625,0.04,289,0.009623678,1.007267,0.186
BE,1,4,0.0625,0.02,289,0.000810949,1.00184,0.408
BE,1,4,0.0625,0.01,289,0.003405788,1.000461,0.689
BE,1,4,0.0625,0.005,289,0.004063933,1.000115,1.492
BE,1,4,0.0625,0.0025,289,0.004228692,1.000029,2.994
BE,2,4,0.0625,0.04,289,0.01388674,1.007213,0.32
BE,2,4,0.0625,0.02,289,0.003507106,1.001827,0.571
BE,2,4,0.0625,0.01,289,0.0008771948,1.000458,1.25
BE,2,4,0.0625,0.005,289,0.0002176268,1.000115,2.425
BE,2,4,0.0625,0.0025,289,5.304911e-05,1.000029,4.784
BE,1,5,0.03125,0.04,1089,0.01281845,1.007227,0.32
BE,1,5,0.03125,0.02,1089,0.00243846,1.00183,0.6
BE,1,5,0.03125,0.01,1089,0.000204214,1.000459,1.265
BE,1,5,0.03125,0.005,1089,0.0008550909,1.000115,2.545
BE,1,5,0.03125,0.0025,1089,0.001019729,1.000029,5.019
BE,2,5,0.03125,0.04,1089,0.01388918,1.007213,0.462
BE,2,5,0.03125,0.02,1089,0.003509546,1.001827,0.858
BE,2,5,0.03125,0.01,1089,0.0008796093,1.000458,1.756
BE,2,5,0.03125,0.005,1089,0.0002199284,1.000115,3.546
BE,2,5,0.03125,0.0025,1089,5.487738e-05,1.000029,6.973
BE,1,6,0.015625,0.04,4225,0.01362135,1.007216,0.538
BE,1,6,0.015625,0.02,4225,0.003241472,1.001827,1.46
BE,1,6,0.015625,0.01,4225,0.0006116622,1.000458,2.744
BE,1,6,0.015625,0.005,4225,5.114623e-05,1.000115,4.796
BE,1,6,0.015625,0.0025,4225,0.0002140007,1.000029,9.006
BE,2,6,0.015625,0.04,4225,0.01388933,1.007213,1.188
BE,2,6,0.015625,0.02,4225,0.003509699,1.001827,2.286
BE,2,6,0.015625,0.01,4225,0.0008797622,1.000458,4.618
BE,2,6,0.015625,0.005,4225,0.0002200796,1.000115,9.486
BE,2,6,0.015625,0.0025,4225,5.502154e-05,1.000029,20.082
Leapfrog,1,3,0.125,0.04,81,0.1048048,0.9712326,0.056
Leapfrog,1,3,0.125,0.02,81,0.05995439,0.9718963,0.112
Leapfrog,1,3,0.125,0.01,81,0.03821907,0.9825952,0.191
Leapfrog,1,3,0.125,0.005,81,0.02750624,0.9904667,0.43
Leapfrog,1,3,0.125,0.0025,81,0.02218748,0.9950264,0.9
Leapfrog,2,3,0.125,0.02,81,0.04363101,0.9673531,0.153
Leapfrog,2,3,0.125,0.01,81,0.02163758,0.9804227,0.275
Leapfrog,2,3,0.125,0.005,81,0.0107929,0.9894041,0.488
Leapfrog,2,3,0.125,0.0025,81,0.0054062,0.9945009,1.246
Leapfrog,1,4,0.0625,0.02,289,0.04774252,0.9684613,0.146
Leapfrog,1,4,0.0625,0.01,289,0.02581111,0.9809519,0.312
Leapfrog,1,4,0.0625,0.005,289,0.01499796,0.9896628,0.551
Leapfrog,1,4,0.0625,0.0025,289,0.009627729,0.9946288,1.118
Leapfrog,2,4,0.0625,0.01,289,0.02159874,0.9804176,0.359
Leapfrog,2,4,0.0625,0.005,289,0.01075384,0.9894016,0.71
Leapfrog,2,4,0.0625,0.0025,289,0.005366875,0.9944997,1.415
Leapfrog,1,5,0.03125,0.01,1089,0.02265348,0.9805503,0.491
Leapfrog,1,5,0.03125,0.005,1089,0.0118163,0.9894665,0.985
Leapfrog,1,5,0.03125,0.0025,1089,0.00643331,0.9945317,1.965
Leapfrog,2,5,0.03125,0.005,1089,0.01075139,0.9894014,1.724
Leapfrog,2,5,0.03125,0.0025,1089,0.00536442,0.9944996,3.316
Leapfrog,1,6,0.015625,0.005,4225,0.0110177,0.9894177,2.743
Leapfrog,1,6,0.015625,0.0025,4225,0.005631693,0.9945076,5.329
Leapfrog,2,6,0.015625,0.0025,4225,0.005364266,0.9944996,9.326
RK4,1,3,0.125,0.04,81,0.01687758,0.9999887,0.142
RK4,1,3,0.125,0.02,81,0.01689362,0.9999996,0.322
RK4,1,3,0.125,0.01,81,0.01689466,1.0,0.561
RK4,1,3,0.125,0.005,81,0.01689472,1.0,1.137
RK4,1,3,0.125,0.0025,81,0.01689472,1.0,2.314
RK4,2,3,0.125,0.02,81,7.687831e-05,0.9999997,0.359
