step,time,energy,energy_ratio
1,0.01,2.46146,1
2,0.02,2.46146,1
3,0.03,2.46146,1
4,0.04,2.46146,1
5,0.05,2.46146,1
6,0.06,2.46146,1
7,0.07,2.46146,1
8,0.08,2.46146,1
9,0.09,2.46146,1
10,0.1,2.46146,1
11,0.11,2.46146,1
12,0.12,2.46146,1
13,0.13,2.46146,1
14,0.14,2.46146,1
15,0.15,2.46146,1
16,0.16,2.46146,1
17,0.17,2.46146,1
18,0.18,2.46146,1
19,0.19,2.46146,1
20,0.2,2.46146,1
21,0.21,2.46146,1
22,0.22,2.46146,1
23,0.23,2.46146,1
24,0.24,2.46146,1
25,0.25,2.46146,1
26,0.26,2.46146,1
27,0.27,2.46146,1
28,0.28,2.46146,1
29,0.29,2.46146,1
30,0.3,2.46146,1
31,0.31,2.46146,1
32,0.32,2.46146,1
33,0.33,2.46146,1
34,0.34,2.46146,1
35,0.35,2.46146,1
36,0.36,2.46146,1
37,0.37,2.46146,1
38,0.38,2.46146,1
39,0.39,2.46146,1
40,0.4,2.46146,1
41,0.41,2.46146,1
42,0.42,2.46146,1
43,0.43,2.46146,1
44,0.44,2.46146,1
45,0.45,2.46146,1
46,0.46,2.46146,1
47,0.47,2.46146,1
48,0.48,2.46146,1
49,0.49,2.46146,1
50,0.5,2.46146,1
51,0.51,2.46146,1
52,0.52,2.46146,1
53,0.53,2.46146,1
54,0.54,2.46146,1
55,0.55,2.46146,1
56,0.56,2.46146,1
57,0.57,2.46146,1
58,0.58,2.46146,1
59,0.59,2.46146,1
60,0.6,2.46146,1
61,0.61,2.46146,1
62,0.62,2.46146,1
63,0.63,2.46146,1
64,0.64,2.46146,1
65,0.65,2.46146,1
66,0.66,2.46146,1
67,0.67,2.46146,1
68,0.68,2.46146,1
69,0.69,2.46146,1
70,0.7,2.46146,1
71,0.71,2.46146,1
72,0.72,2.46146,1
73,0.73,2.46146,1
74,0.74,2.46146,1
75,0.75,2.46146,1
76,0.76,2.46146,1
77,0.77,2.46146,1
78,0.78,2.46146,1
79,0.79,2.46146,1
80,0.8,2.46146,1
81,0.81,2.46146,1
82,0.82,2.46146,1
83,0.83,2.46146,1
84,0.84,2.46146,1
85,0.85,2.46146,1
86,0.86,2.46146,1
87,0.87,2.46146,1
88,0.88,2.46146,1
89,0.89,2.46146,1
90,0.9,2.46146,1
91,0.91,2.46146,1
92,0.92,2.46146,1
93,0.93,2.46146,1
94,0.94,2.46146,1
95,0.95,2.46146,1
96,0.96,2.46146,1
97,0.97,2.46146,1
98,0.98,2.46146,1
99,0.99,2.46146,1
100,1,2.46146,1
