step,time,l2_error,h1_error
5,0.05,0.000826643,0.0614304
10,0.1,0.00078165,0.0568661
15,0.15,0.000708309,0.0495087
20,0.2,0.000609065,0.0397202
25,0.25,0.000487327,0.0279826
30,0.3,0.0003476,0.0148781
35,0.35,0.00019666,0.00130496
40,0.4,6.65232e-05,0.0129103
45,0.45,0.000158621,0.0261579
50,0.5,0.000316925,0.0381303
55,0.55,0.000471219,0.0482321
60,0.6,0.00061219,0.0559658
65,0.65,0.000733667,0.0609514
70,0.7,0.00083045,0.0629444
75,0.75,0.000898182,0.0618474
80,0.8,0.000933459,0.0577155
85,0.85,0.000933976,0.0507535
90,0.9,0.00089868,0.0413072
95,0.95,0.000827913,0.0298499
100,1,0.000723577,0.0169817
